company,title,news,evaluation,year,month,day
APPLE ,Tourists snap up British iPads to smuggle into China,"IT'S the digital version of the slow boat to China. The iPad 2, made in China but yet to go on sale there, is being bought in London and smuggled back into the country where it is manufactured.  It means the Apple tablet is creating extra carbon emissions as it travels halfway across the world and back again. Customers are queuing to buy the iPad 2 at Apple shops in London and send them 6,000 miles back to China. The tablets are bought for their retail price of £399 for a 16GB model and then taken to China, where they sell for £430. The profit is not in this small mark-up but in the 20% Vat - in this case almost £80 - Chinese tourists can reclaim when they take the iPads out of the country. No tax is paid to the Chinese authorities by the smugglers. It means a student who takes home six iPads can fund his trip to London. […]",negative,2011,4,17
CHEVRON,AFTER SEATTLE; Anarchists get organized.,"For Juliette Beck, it began with the story of the Ittu Oromo, Ethiopian nomads whose lives were destroyed, in vast numbers, by a dam-a hydroelectric project sponsored by the World Bank. Beck was a sophomore at Berkeley, taking a class in international rural development. The daughter of an orthopedic surgeon, she had gone to college planning to do premed, but environmental science caught her interest, and the story of the Ittu Oromo precipitated a change of major. […] Beck likes to call the I.M.F., the W.T.O., and the World Bank ""the iron triangle of corporate rule."" In her view, these institutions-their leaders, clients, political allies, and, above all, true bosses, multinational corporations-are frog-marching humanity, along with the rest of the planet, into a toxic, money-maddened, repressive future. And she intends to persuade the rest of us not to go quietly. […] Bank officials have consistently vowed to improve this record, to start funding projects that benefit not only big business and Third World elites but also the world's poor. Accordingly, projects with non-governmental organizations and other ""civil society"" groups, along with efforts to promote access to health care and education, have increased. But Bank contracts are worth millions, and multinational corporations have remained major beneficiaries. In 1995, Lawrence Summers, then an under-secretary at the Treasury Department-he is now its Secretary-told Congress that for each dollar the American government contributed to the World Bank, American corporations received $1.35 in procurement contracts. One of the Bank's major proposals at the moment is for the development of oilfields in Chad, in central Africa, and the construction of an oil pipeline running more than six hundred miles to the coast at Cameroon. The environmental impact of this pipeline is predicted by many to be dire, the benefits to the people in the area minimal. The big winners will, in all likelihood, be the Bank's major partners in the project-Exxon Mobil and CHEVRON. […]",negative,2000,4,17
Exxon Mobil,$10bn oil payout voided,"SAN FRANCISCO: An appeal court yesterday voided the $10 billion punitive damages imposed on Exxon Mobil Corporation for the 1989 Valdez oil spill which polluted the Alaskan coast.  The 9th Circuit Court of Appeals said the company should pay damages but $9.74 billion was excessive. A lower court will now decide a new payout. The Exxon Valdez spill smeared black tar across 3900km of the coast of Alaska's Prince William Sound. Commercial fishermen, Alaskan natives and wildlife suffered.",negative,2001,11,9
WAL MART STORES,Craft capitalism: Just do it yourself; Web market prospers by tapping into an old-style yearning for personal contact,"The declaration from the Handmade Consortium materialized on a Web site called buyhandmade.org in late October. ''I pledge to buy handmade this holiday season, and request that others do the same for me,'' it said, and you could type in your name to ''sign'' on. Within weeks, more than 6,500 people had done so. ''Buying handmade is better for people,'' a statement on the site read in part, and ''better for the environment,'' because mass production is a ''major cause'' of global warming, among other things. There were links to an anti-sweatshop site and a Wal-Mart watchdog site. The pledge echoed the idealistic language of an environmental advocacy group, but actually the consortium's most prominent member was the online shopping bazaar Etsy, a for-profit entity. Etsy is an online craft fair where individuals from all over the world sell things that they have made. […]",negative,2007,12,15
Exxon Mobil,Chevron gas project gets state green light,"SYDNEY: Chevron has received final environmental approval from the State Government of Western Australia for its huge Gorgon liquefied natural gas (LNG) project, two sources familiar with the situation said yesterday. [...] The project was first expected to deliver gas in 2010, but analysts say 2015 is more likely after delays caused by environmental issues.[...] Barrow Island is a nature reserve and the Western Australian Government had laid down strict conditions to protect the environment. Chevron is the operator of the Gorgon project and holds a 50 per cent stake. Exxon Mobil and Royal Dutch Shell each have 25 per cent.[...] ",negative,2007,9,8
CHEVRON,RIVALS WILL ACCUSE BP,"[…] BP was expected to be hung out to dry by rivals today amid claims money-saving short-cuts and blunders caused the worst oil spill in US history. The oil giant was dragged before Congress, where it faced accusations of favouring cost savings over safety in the days leading up to the explosion on the Deepwater Horizon rig in the Gulf of Mexico. Executives from rival firms including Exxon Mobil, CHEVRON, ConocoPhillips and Royal Dutch Shell were also due to quizzed over the disaster. [...] Millions of gallons of oil have spilled into the Gulf, devastating 120 miles of coastline and making BP chief executive Tony Hayward public enemy number one in the US. [...]",negative,2010,6,15
CHEVRON,Minister's dash to save LNG deal,"Resources Minister Ian Macfarlane will fly out of the country tomorrow to head off an environmental backlash that threatens to delay $50 billion of liquefied natural gas exports to California. Mr Macfarlane will lobby on behalf of a number of Australian LNG producers, but a focus will be BHP Billiton's plan to establish a floating import terminal off the coast of California. While the $US600 million ($780 million) plan would help solve California's persistent energy problems, it has raised the hackles of the state's powerful environmental lobby. BHP Billiton's Cabrillo Port project would collect LNG shipments in a huge offshore storage tanker and convert them to gas, which would then be moved to the mainland through an ocean-floor pipeline. Local community groups are concerned not just about the effect an accident at the facility could have on the environment, but also the threat of a terrorist attack. As well as meeting members of California Governor Arnold Schwarzenegger's administration, Mr Macfarlane will hold discussions with green groups in the state and travel to Mexico, where he will sign an agreement on energy issues. With environmental concerns shaping up as an insuperable obstacle to exporting LNG directly into California, a number of companies are looking at the possibility of delivering natural gas to Mexico, which could then sell it across the border. Mexico last week gave the green light to two projects to establish gas-import terminals, including one by CHEVRONTEXACO, which is developing the Gorgon gas field off the West Australian coast. While Mr Macfarlane said he would promote Australia as a reliable and environmentally safe source of LNG, he also expected the federal government's close ties with the US should help his case. […]",negative,2005,1,14
Exxon Mobil,Exxon makes first big investment in biofuels,"Exxon Mobil Corp. said yesterday it will make its first major investment in greenhouse-gas reducing biofuels in a $600 million (U.S.) partnership with biotech company Synthetic Genomics Inc. to develop transportation fuels from algae. Despite record-breaking profits in recent years, the oil and gas giant has been criticized by environmental groups, politicians and even shareholders for not spending enough to explore alternative energy options. One of the company's requirements was finding a biofuel source that could be produced on a large scale. It says photosynthetic algae appears to be a viable, long-term candidate. If the alliance is successful, algae-based gasoline is still several years away and will mean additional, multibillion-dollar investments for mass production. Exxon's biofuels investment is tiny compared with the $29 billion it is spending this year to find new supplies of crude and natural gas.",negative,2009,7,15
Exxon Mobil,Rival oil companies get a taste of BP's medicine on Capitol Hill,"Members of Congress tore into the big energy corporations last night for filing almost identical Gulf of Mexico oil spill response plans - which included contact details for a deceased scientist and steps to protect a marine mammal not found in the region's waters. It was an astonishing and sustained verbal battering which undermined attempts by Shell, ConocoPhillips and ExxonMobil to suggest that their working practices differ from those of BP; and that the catastrophe would not have happened if the leaking well had been theirs. [...] An early BP document put the spill rate at between 1,000 and 14,000 barrels a day. A panel of US scientists offered grim news last night warning that the ""most likely flow rate of oil today"" ranges from 35,000 to 60,000 barrels per day - once more far higher than previously suggested. At the upper end of the range that would mean the equivalent of the Exxon Valdez spill is erupting from the well every four days. [...]",negative,2010,6,16
Exxon Mobil,US regulator warns over Canada oil pipeline plan,"President Barack Obama became significantly more likely to block the Canada-to-Texas Keystone XL oil sands pipeline after the US environmental regulator said a government report that in effect endorsed the project was based on ""insufficient"" research. [...] However, the EPA has agreed with opponents of the pipeline, arguing that trains would not be able to carry anything like the amount of oil that Keystone could - so blocking it would feed through into lower carbon emissions. Cynthia Giles, from the EPA's Office of Enforcement and Compliance Assurance, said the State Department's ""analysis should include further investigation of rail capacity and costs, recognising the potential for much higher per barrel rail shipment costs"". Ms Giles said the State Department needs to ""more clearly acknowledge"" the dangers of an oil spill from the pipe to the surrounding environment. Last month, the dangers of oil spills were underlined when an Exxon Mobil pipeline spilled thousands of barrels of Canadian crude in Arkansas. [...]",negative,2013,4,23
