video_id,publish_time,title,channel_title,category_id,views,likes,videoDifficulty
cX9V3iNBUoo,2020-12-10,Qu’est-ce que l’intelligence artificielle ?,UNESCO,Nonprofits & Activism,46000,573,B2
WCxfpgRRgX8,2019-02-21,L’intelligence artificielle: Qu’est-ce que c’est ?,neodigital,Science & Technology,59000,670,B2
oLIIV1IXuig,2021-06-10,Cette vidéo t'explique le conflit historique entre Israël et Palestine,HugoDécrypte - Grands formats,Education,4000000,192000,B2
SMzWtsjauo0,2023-10-20,Pourquoi le conflit Israël-Palestine est si important ?,TAOQAN,News & Politics,201000,13000,B1
_ErqFxkxnc4,2023-08-17,Changer de Voix en Direct grâce à l'IA : Guide Complet !,Marceau,Science & Technology,88000,4000,B2
A4yylZ3nCxw,2023-04-03,JO-2024 : à quoi va ressembler le village olympique ? • FRANCE 24,FRANCE 24,News & Politics,30000,187,B1
ASX4m_DZWkc,2018-07-08,La géographie du football,TéléCrayon,Education,158000,4000,B1
jaRcocp0WAA,2018-07-13,Le Christianisme dans le monde - Les pays qui comptent le plus de Chrétiens ?,TéléCrayon,Education,86000,2000,B2
DSs3M-ERSn4,2019-11-05,Les pays issus du colonialisme (les pays-colonies),TéléCrayon,Education,62000,2000,B2
Y2vGY_4fhK8,2019-10-17,Les pays qui ont encore des colonies !,TéléCrayon,Education,287000,6000,B2
rtI4tdb9-vE,2021-11-18,Quels pays ont déjà été communistes ?,TéléCrayon,Education,148000,5000,B1
8l3hY4B6oTQ,2021-01-23,Les Pays qui ne sont pas internationalement reconnus,TéléCrayon,Education,191000,6000,B2
BcF6HcdcOh4,2020-10-07,TOUTE L'HISTOIRE DE LA RUSSIE,TéléCrayon,Education,551000,18000,C1
fGYXJyS2qlI,2022-05-01,LA GUERRE DE CENT ANS expliquée en 15 minutes | Ep 08 Histoire de France,Histoires du Monde,Education,39000,1000,B1
bg0Mr10kgOs,2021-10-23,La guerre de cent ans - Français lent et compréhensible avec sous-titres,Français avec Fluidité,Education,6000,348,B2
-XnXZ-3fx9Q,2023-10-21,"7 erreurs à ne pas faire pour progresser en français | Français COURANT. S-titres, transcription PDF",Français avec Fluidité,Education,8000,498,B2
ou293T0a-fQ,2023-02-25,Tu faisais quoi avant ? Avec LISA| Dialogue en français COURANT avec sous-titres.,Français avec Fluidité,Education,22000,746,B2
UM8DIt293QA,2023-08-26,Pourquoi et comment mémoriser du VOCABULAIRE | Français COURANT + sous-titres  et transcription PDF.,Français avec Fluidité,Education,31000,1000,B2
p65EBC9lW9k,2023-10-21,What Do French People Actually Eat? | Easy French 189,Easy French,Entertainment,41000,1000,B1
__Cu2nwgAjA,2023-10-28,"100 French Words, Expressions & Sentences Every Beginner Should Know | Super Easy French 151",Easy French,Entertainment,17000,1000,B2
unmu4yKfBg0,2020-11-21,The French Describe Their Weekend | Easy French 116,Easy French,Education,636000,14000,B2
hXvoyKGwFJk,2023-05-26,LE VERRE : Ce matériau étrange et méconnu réconcilie l'art et la technologie...,ScienceEtonnante,Science & Technology,315000,19000,B1
RVB3PBPxMWg,2023-09-01,MIEUX APPRENDRE & ÉTUDIER : les (vraies) techniques scientifiques,ScienceEtonnante,Science & Technology,1000000,61000,B2
RVB3PBPxMWg,2023-09-01,MIEUX APPRENDRE & ÉTUDIER : les (vraies) techniques scientifiques,ScienceEtonnante,Science & Technology,1000000,61000,B2
YoLMNpbOmkc,2023-10-15,On observe le corps humain au microscope,Jamy - Epicurieux,Science & Technology,224000,10000,B1
n7-9hIcxm6s,2022-06-05,5 Catastrophes naturelles qui pourraient vraiment nous arriver | TOP 5,Jamy - Epicurieux,Science & Technology,778000,44000,B2
zRQILXgbAIE,2023-10-30,Survivre Aux Catastrophes Naturelles Les Plus Dangereuses,Poisson Fécond,Education,177000,9000,B2
ux2JuPglPhU,2021-07-17,🥇 La drôle d'histoire des JO (Jeux Olympiques),Jamy - Epicurieux,Science & Technology,212000,9000,B2
bE2knZEWidY,2023-10-22,On crée la bière ÉPICURIEUSE 🍻,Jamy - Epicurieux,Science & Technology,96000,6000,B1
yKgaS_O1kDo,2023-10-01,Les ORAGES sont-ils DANGEREUX ?,Jamy - Epicurieux,Science & Technology,236000,13000,B1
jr3Owa11i7M,2019-10-10,La PRISE DE NOTE Rapide et Efficace - Méthodologie - Tous Niveaux 📝,Les Sherpas,Education,135000,5000,B1
VzaF5dvvo4I,2021-11-25,LA prise de notes parfaite  - Méthode Cornell 📝,Les Sherpas,Education,109000,7000,A1
MMvzA5SfBGk,2018-09-09,"13 conseils pour mieux apprendre, par le neuroscientifique Stanislas Dehaene",France Culture,Education,197000,3000,B2
fr97njyRkfs,2022-11-10,LA méthode pour apprendre (vite et bien) ☄️,Les Sherpas,Education,33000,2000,B1
MsNPss3BtRo,2016-11-29,Un seul conseil pour se sortir de la procrastination,LeHuffPost,People & Blogs,117000,3000,B2
Fxu8vsMi7Ws,2023-06-09,Comment trouver sa voie quand on s’intéresse à tout ? | Paolo Z | TEDxGEM,TEDx Talks,Nonprofits & Activism,177000,4000,B2
9dZNfc5VmU0,2016-09-26,Comment apprendre ses cours et ses examens - Mémoire,FabienOlicard,Entertainment,549000,24000,B2
-NS-0OVXVi0,2022-03-30,Comment travailler sa mémoire : 3 astuces qui marchent pour mémoriser sur le long terme,Mohamed Boclet,Education,39000,2000,B2
kfDmx3AVqME,2022-11-14,TOUT apprendre en 48 heures (la technique parfaite),FabienOlicard,Entertainment,183000,10000,B2
Zjz5-ITf26o,2022-04-06,Retiens TOUS tes cours ! 👌 ✨,Les Sherpas,Education,22000,1000,B1
fxaluu6CWjI,2022-10-02,La méthode des répétitions espacées - Les bonnes méthodes - collège / lycée - Les Bons Profs,Les Bons Profs,Education,3000,154,B2
KELrUFx_XA4,2023-03-15,Choisir entre Notion et Obsidian ? En 3 minutes.,Thibaut Lopes,Education,16000,429,B2
BBhXM_6hjlI,2020-10-20,Comment utiliser des câbles de démarrage ? - Tutoriel Oscaro,Oscaro,Autos & Vehicles,360000,1000,B2
iWm8a-aQF8A,2022-10-28,Essai Microlino. Au volant de l’Isetta du 21ème siècle,L'argus,Autos & Vehicles,84000,1000,B2
egPxrB_-Aw4,2023-04-24,Je réagis à vos pitchs - Épisode 01,Eric Larchevêque,People & Blogs,10000,334,B2
MJmpQA_RWMM,2023-05-08,Je réagis à vos pitchs - Épisode 02,Eric Larchevêque,People & Blogs,8000,231,C1
C5VG95nKO8M,2022-03-04,Français de Belgique vs Français de France (Belgicismes),Français avec Pierre,Education,57000,3000,B2
SoXimLixXT4,2023-09-01,EXCLU Essai nouvelle Tesla Model 3 (2024) : plus douce et plus sage !,Automobile Propre,Autos & Vehicles,282000,8000,B2
_9mN6T5IRa0,2021-02-12,La méthode lean (lean management),StrategeMarketing,Education,43000,555,B2
suNVaL3LW1E,2018-07-31,Comment changer une roue de voiture ?,La mécanique par une fille,Autos & Vehicles,124000,970,B2
9LWAjeG_dKs,2020-10-08,Le système éducatif français 👩‍🎓👨‍🎓,Français avec Pierre,Education,178000,5000,B2
HWs9dcvnDLg,2021-02-15,Comment suivre un cours ?,NELLAPP,People & Blogs,1000,2,C1
oRi3EMoSckY,2022-09-09,PourQuoi un scooter est mieux qu'ne moto ?,The Choucroute Garage,Autos & Vehicles,42000,1000,C2
0e9S9YekxrU,2022-03-20,COMMENT TRAVAILLER PLUS EFFICACEMENT avec la règle 80/20 *astuces productivité*,Evadaptable,Howto & Style,256000,15000,A2
QsJZxAhkXT8,2022-05-31,Comment bien s'organiser au travail ?,Isabelle Cougnaud,Howto & Style,9000,133,B2
xvL0pNNVcuY,2021-09-09,Planning de travail : cette méthode va CHANGER ta VIE (et ton organisation) ! 🗓,Les Sherpas,Education,49000,3000,B2
1b9kiAWkTR8,2016-09-22,Comment se concentrer en 2mns,FabienOlicard,Entertainment,956000,48000,B2
NI3RjX5DqKQ,2022-06-13,Doudou 2022 : succès de foule pour le retour de la Ducasse de Mons - JT RTBF,RTBF Info,News & Politics,17000,103,B1
kMAqyCxxazI,2022-03-20,7 techniques pour une CONCENTRATION maximale ! ⚡️,Les Sherpas,Education,32000,2000,B1
0_jSwbfIcz8,2018-04-26,Comment améliorer sa mémoire ? Les conseils du champion de France de mémorisation,Le Monde,News & Politics,634000,17000,B1
Yn-gTD-05x4,2020-09-18,LA METHODE CORNELL : La prise de note EFFICACE,Potion de vie,Education,239000,11000,B2
Jq-xC_6nr6o,2017-10-18,La prise de notes - méthodo - tous niveaux,L'Antiseche,Education,625000,32000,B1
x7keXzDJj7A,2022-02-02,Prendre des notes EFFICACES en 5 étapes ✍️,Les Sherpas,Education,13000,837,B1
m5MJ6OGhV8c,2022-10-17,Voici la méthode d'apprentissage PARFAITE !,Potion de vie,Education,354000,12000,B1
e1gvhFjKmVQ,2021-05-05,7 CLÉS POUR RETENIR FACILEMENT L'INFORMATION,Mohamed Boclet,Education,260000,17000,C1
nNXgTGp6_H8,2018-06-19,2 exercices pour booster votre concentration,Potion de vie,Education,80000,2000,B2
0Hlq42fQACw,2019-03-02,"Comment Mémoriser à long terme (Courbe de l'oubli, Ebbinghaus et répétitions espacées)",Potion de vie,Education,120000,4000,C1
Bh-YVFMbiL4,2020-09-09,Comment améliorer sa mémoire,Charlie Haid,Entertainment,9000,1000,B2
5QY8OIt-Alo,2020-09-25,[Minute Mémoire] Mémoire et Apprentissage  - Laurence Taconnat,Observatoire B2V des Mémoires ,Nonprofits & Activism,927,21,B1
m25x6XPaq_Y,2023-02-21,"Binche : le carnaval reprend ses droits, record de participation et d'engouement - RTBF Info",RTBF Info,News & Politics,8000,94,A2
X9xkSalTss4,2019-02-27,6 techniques MECONNUES pour MÉMORISER 3 fois plus vite (et mieux retenir),Aideauxtd - Vidéos de droit,Howto & Style,1000000,39000,B2
6iZBMk3iV5I,2019-12-10,"Pour Réussir tes Études, Regarde Ça  |  Motivation Etude  | H5 Motivation",H5 Motivation,Howto & Style,1000000,50000,B1
